date,Energy_Consumption,Air_Temperature,Humidity,SolarRadiation,Cool_Temperature,Heat_Temperature,Interior_Temperature,Exterior_Temperature,Total_Occupants,Wifi_Users
23/06/2018,8603.9325,23.58994792,38.06708333,338.2183333,74.5712229,68.25889228,23.18520703,70.37861847,3,63
24/06/2018,6070.795,16.42526042,73.6384375,278.0678125,73.37804878,69.3902439,23.13214398,70.69112863,2,63
25/06/2018,6344.305,13.19833333,88.89322917,230.3901042,73.37804878,69.3902439,22.91260793,69.85741571,20,107
26/06/2018,7570.86,13.57286458,77.4396875,340.7402083,73.37804878,69.3902439,22.98685957,70.17309587,22,128
27/06/2018,7111.385,12.7196875,81.47895833,238.4214583,73.37804878,69.3902439,23.07360466,69.76159306,25,115
28/06/2018,7253.055,13.6628125,74.70697917,303.2177083,73.37804878,69.3902439,22.84966667,69.70706207,22,112
29/06/2018,8122.115,16.41989583,64.82072917,329.9432292,76.6998645,66.23958333,23.00052232,70.39528322,18,104
30/06/2018,7724.77,19.17458333,55.57052083,332.3391667,74.5712229,68.25889228,23.10567364,70.87420752,1,59
01/07/2018,5560.67,13.1784375,88.67739583,142.8409375,73.37804878,69.3902439,22.78417083,70.10431645,1,60
02/07/2018,6740.42,12.48395833,93.38354167,116.9095833,73.37804878,69.3902439,22.4694537,69.07747821,18,99
03/07/2018,7034.625,13.35932292,83.88197917,268.8372917,73.37804878,69.3902439,22.53285648,69.30116093,19,98
04/07/2018,4787.29,13.30119792,79.2359375,265.9317708,73.37804878,69.3902439,22.57381759,73,1,61
05/07/2018,7157.415,13.51505208,79.9996875,321.798125,73.37804878,69.3902439,22.52900278,,19,102
06/07/2018,8425.34,19.15010417,59.69135417,256.4647917,76.70477642,66.23611111,22.96850668,,20,108
07/07/2018,8440.365,21.1334375,50.5315625,304.7434375,74.5712229,68.25889228,23.07698498,70.03110756,1,60
08/07/2018,658.89,17.79838542,63.33661458,333.0664583,73.37804878,69.3902439,22.82906944,70.55936783,1,61
09/07/2018,947.6033333,18.78395833,54.66177083,330.4234375,73.40193089,69.41412602,22.97905359,70.67957993,23,107
10/07/2018,9833.781667,21.50953125,41.58229167,330.1820833,73.40243902,69.41463415,23.3963138,71.51456223,31,126
11/07/2018,8131.465,15.96546875,74.62489583,326.6323958,73.40243902,69.41463415,23.57881706,71.53544935,21,113
12/07/2018,7511.57,14.06697917,86.58520833,285.8470833,73.40243902,69.41463415,23.70995313,70.92757111,18,0
13/07/2018,7949.845,15.56020833,81.77458333,263.1517708,76.72417005,66.26482046,23.61487804,,20,0
14/07/2018,6473.365,15.19994792,83.018125,280.6903125,74.59561314,68.28328252,23.4196428,70.10028835,1,0
15/07/2018,5720.465,13.57213542,87.32604167,259.998125,73.40243902,69.41463415,22.9875612,69.51684492,1,0
16/07/2018,7328.185,14.07739583,82.20270833,313.2994792,73.40243902,69.41463415,22.92430556,70.28070988,21,0
17/07/2018,7782.655,14.42057292,83.67833333,320.8847917,73.40243902,69.41463415,23.21976823,70.62436563,21,0
18/07/2018,7687.59,14.72197917,84.09447917,311.9396875,73.40243902,69.41463415,23.38268207,70.61103448,16,0
19/07/2018,7903.43,14.13473958,86.44677083,301.2561458,73.40243902,69.41463415,23.33524089,70.13383838,20,0
20/07/2018,7324.21,13.92114583,88.85958333,282.6146875,76.72044377,66.26854675,23.27570616,70.65117919,20,0
21/07/2018,6286.885,14.92859375,88.80354167,274.4748958,74.59561314,68.28328252,23.11901823,70.60599265,2,0
22/07/2018,6071.455,15.205,87.42083333,258.2667708,73.40243902,69.41463415,22.79003819,70.22019608,1,0
23/07/2018,7662.845,15.5725,79.87104167,304.5710417,73.40006775,69.41226287,22.91383464,70.40856555,22,0
24/07/2018,7998.285,15.4515625,80.64135417,309.6358333,73.34578252,69.35797764,23.31722157,70.64097398,22,0
25/07/2018,8333.701667,16.31630208,78.36583333,320.3979167,73.274729,69.28692412,23.42694097,70.83920949,22,0
26/07/2018,7884.373333,14.87640625,79.62916667,303.3601042,73.23204607,69.24424119,23.45617812,70.98322304,14,0
27/07/2018,7159.65,13.89140625,81.66416667,272.5884375,76.55250678,66.09502033,23.35725463,70.66321895,14,0
28/07/2018,6116.87,13.64234375,81.779375,294.9659896,74.42488144,68.11255081,23.02465972,70.2599537,1,0
29/07/2018,5486.855,13.51054688,82.00885417,259.7854167,73.23170732,69.24390244,22.65499769,69.8167933,1,0
30/07/2018,7437.68,14.04109375,81.175625,286.5491146,73.23170732,69.24390244,22.61340315,69.58039011,23,0
31/07/2018,7572.16,13.83791667,81.17833333,292.6184375,73.23170732,69.24390244,22.97402995,70.20976307,22,0
01/08/2018,6924.125,13.53109375,82.02989583,274.76875,73.23170732,69.24390244,23.05713976,70.27812296,12,0
02/08/2018,7371.565,13.86697917,79.513125,287.6741667,73.23170732,69.24390244,23.03406727,70.31536374,19,0
03/08/2018,8151.435,15.37546875,73.4946875,295.0496875,76.55343835,66.09408875,23.16720009,,19,0
04/08/2018,8822.1,22.08338542,41.91885417,310.9482292,74.42488144,68.11255081,23.14590735,,1,0
05/08/2018,6701.005,16.21755208,70.48583333,300.83875,73.23170732,69.24390244,22.98328611,,1,0
06/08/2018,7943.29,17.31802083,61.9946875,305.3275,73.23170732,69.24390244,23.04714677,,21,0
07/08/2018,7696.95,15.0059375,72.60489583,268.5623958,73.23170732,69.24390244,23.24820443,,29,0
08/08/2018,7744.96,14.5078125,80.50583333,272.3308333,73.23170732,69.24390244,23.11651888,,20,0
09/08/2018,8450.93,16.06901042,75.49833333,290.5778125,73.23170732,69.24390244,23.23436111,70.66923077,24,0
10/08/2018,8312.43,17.91041667,63.79958333,293.9757292,76.55267615,66.0951897,23.3003138,70.21655171,6,0
11/08/2018,7233.59,19.529375,58.52333333,289.0015625,74.42488144,68.11255081,23.18248223,70.92989515,2,0
12/08/2018,6847.48,17.32583333,68.74697917,288.8317708,73.23170732,69.24390244,22.91406713,70.59055828,0,0
13/08/2018,7202.54,14.11708333,82.98052083,247.2860417,73.23170732,69.24390244,22.94946102,70.07490679,8,0
14/08/2018,7516.44,13.3165625,88.4565625,143.4026042,73.23170732,69.24390244,22.97354952,69.63316988,19,0
15/08/2018,7153.86,14.70171875,84.23041667,216.3211458,73.23170732,69.24390244,23.05328148,70.15860839,9,0
16/08/2018,7524.56,15.36682292,81.6703125,272.6823958,73.23170732,69.24390244,23.19800741,70.38529405,10,0
17/08/2018,8337.53,16.04802083,76.33208333,292.5719792,76.55259146,66.09510501,23.28797176,69.76113208,10,0
18/08/2018,,20.18010417,46.07635417,295.1071875,74.42488144,68.11255081,24.091643,70.70224868,1,0
19/08/2018,,14.95697917,74.32729167,277.76125,73.23170732,69.24390244,,,0,0
20/08/2018,,13.22401042,84.97802083,217.2539583,73.23170732,69.24390244,23.88855926,71.94277094,21,0
21/08/2018,,12.44348958,90.44375,68.40177083,73.23170732,69.24390244,23.47084398,70.70126112,15,0
22/08/2018,667.49,14.73302083,83.9846875,149.0575,73.23579692,69.24799204,23.39501574,70.49432067,15,0
23/08/2018,8126.48,14.494375,79.3534375,188.7478125,73.23187553,69.24407065,23.49246157,70.68351697,19,0
24/08/2018,7387.95,13.85234375,83.7678125,151.5971875,76.55547087,66.09129404,23.50003657,70.84733459,14,0
25/08/2018,7141.87,13.40875,86.99989583,233.5942708,74.42488144,68.11255081,23.211675,70.932844,3,0
26/08/2018,6562.21,12.6025,86.96052083,199.9454167,73.23170732,69.24390244,22.93990972,,1,0
27/08/2018,7633.805,13.48484375,86.35520833,135.6467708,73.23170732,69.24390244,23.07596204,71.43676471,12,0
28/08/2018,8025.845,13.46630208,88.46875,113.1651042,73.23170732,69.24390244,23.30790278,70.90115867,12,0
29/08/2018,8173.02,15.36932292,78.26427083,253.6913542,73.23170732,69.24390244,23.37533056,71.05778459,17,0
